descr|cat
салфетки влажные лента, антибактериальные, 100 шт. в уп|9
фасоль bonduelle, белая, в томатном соусе, 400 г|6
коктейль молочный чудо детки, в ассортименте, 3,2%, 200 мл|9
водка хортиця платинум, 0,7 л, россия|8
зубная паста biomed 100 г|9
вино martini prosecco, игристое, белое, сухое, 0,75 л|8
priorat o salmos torres красное сухое вино испания, приорат 0,75 л, цена/ цена кратная 6 бутылкам|8
виски white horse, купажированный, в подарочной упаковке, 0,7 л, великобритания|8
кофе растворимый nescafe gold 47,5 г|5
полотенце вафельное сувенирное, 100% хлопок, 50х 60 см|9
чай hilltop, черный, цейлонский, в керамической чайнице, 50 г, в ассортименте|5
мороженое 48 копеек, шоколадная прага, 460 г|7
батончики snikers, с семечками, 202,5 г|7
чай hilltop, 200 г, в ассортименте|5
гель для душа palmolive 250 мл|9
стеклоомывающая жидкость sapfire - 20c 4 л, цена при покупке кратно 2 шт|9
аксессуары rossini/ fm: - платок – 149 руб. - шарф – от 199 руб. - палантин – 399 руб.|9
пюре бабушкино лукошко, в ассортименте, 100 г|9
сыр bonfesto mascarpone, мягкий, 78%, 500 г|1
скумбрия русское море без головы слабосоленая и холодного копчения 300 г|3
конфеты merci assorted, 250 г, в ассортименте|7
сыр полутвердый тильзитер, эдам, гауда золото европы 240 г|1
посуда disney принцессы, стекло: - стакан, 250 мл – 79,99 руб. - кружка, 200 мл; салатник, 13 см – 99,99 руб. - тарелка десертная, 19,6 см – 139,99 руб.|9
водка царская золотая, 1 л, россия|8
яйцо куриное лента, с селеном и йодом, с1,20 шт. в уп.|6
пиво очаково, оригинальное, светлое, 4,6%, 1,5 л|8
водка зеленая марка, кедровая, 40%, 0,7 л|8
масляная рыба филе олива холодного копчения 1 кг|3
сосиски молочные, гост (великолукский мк), 650 г|0
макаронные изделия federici, в ассортименте, 500 г|5
пиво балтика №7, светлое, 1,35 л, россия|8
zinfandel beringer розовое полусладкое вино сша, калифорния 0,75 л, цена/ цена кратная 6 бутылкам|8
алазанская долина badagoni в ассортименте грузия 0,75 л|8
don ramon boegas aragonesas красное сухое вино испания, арагон 0,75 л, цена/ цена кратная 6 бутылкам|8
сосиски докторские (мпк атяшевский), 600 г|0
котлеты в ассортименте, равиолло, 380 г|4
колбаса молочная гост, вареная, великолукский мк, 500 г. 1+ 1. цена указана за 1 шт. при покупке 2 шт. одновременно|0
garnacha e fuego tarima красное сухое вино испания, арагон 0,75 л, цена/ цена кратная 6 бутылкам|8
чай lipton, earl grey, черный, байховый, 100х 2 г|5
торт венский цех полет, 650 г|7
мыло туалетное palmolive, 90 г, в ассортименте|9
кетчуп heinz, томатный, 230 г|6
виски бэллс, 40% (шотландия), 0,7 л|8
пиво невское, светлое, 4,6%, 0,44- 0,45 л|8
сыр laime, 50%, 200 г, в ассортименте|1
пивной напиток essa в ассортименте 0,5 л|8
конфеты amapola, 100 г, в ассортименте|7
пирожное бисквитное медвежонок барни, в ассортименте, 150 г|7
капсулы tassimo в ассортименте 104 г|5
огурцы маринованные, домашние, 6 соток, 680 г|6
вода минеральная ариана нижний кармадон, газированная, 1,5 л|9
продукт кисломолочный актимель, в ассортименте, 100 г|1
грейпфрут красный, 1 кг|2
масло monini, classico extra virgin, оливковое, нерафинированное, 500 мл|6
кофе жокей, молотый, 250 г: - по- восточному - классический|5
набор чая и чайных напитков greenfield premium tea collection, 120 пак. в уп.|5
кукла enchantimals, с любимой зверюшкой, в ассортименте|9
треска стейк царица морей свежемороженая 800 г|3
каша фрутоняня, в ассортименте, 200 г|9
зефир eco- botanica, с каркаде и вкусом малины, 135 г|7
посуда rondell: - френч- пресс, 600 мл – 499,99 руб. - кофеварка, гейзерная, 300 мл – 999,99 руб. - чайник, 3 л – 1799 руб.|9
завтрак овсяный велле, в ассортименте, 175 г|1
соки и нектары j- 7, в ассортименте, 0,97 л. 1+ 1. цена указана за 1 шт. при покупке 2 шт. одновременно|9
принадлежности кухонные пионы: - подставка под горячее, дерево, 14х 14 см – 69,99 руб. - доска разделочная, дерево, 18х 28 см – 119,99 руб. - набор ножей, 3 шт. в уп. – 399,99 руб.|9
карбонад славянский, варено- копченый (великолукский мк), 300 г|0
шоколад бабаевский, в ассортименте, 90 г|7
набор le petit marseillais|9
конфеты grondard, в ассортименте, 140 г|7
грудка куриная, охлажденная, 1 кг|0
сыр сыробогатов: - мааздам, 45%, 270 г - пармезан, 40%, 200 г|1
вода минеральная borjomi, газированная, 0,33 л|9
салат из морской капусты amope, 470 г, в ассортименте|3
ассорти конфет kalev, 230 г|7
колбаса докторская, гост (великолукский мк), 500 г|0
винный напиток piazza doro, белый, сладкий, газированный, 0,75 л|8
напиток молочно- соковый мажитэль, в ассортименте, 950 г|1
набор fa men + schauma, для мужчин, 1 шт.|9
влажный корм для кошек sheba в ассортименте 80- 85г|9
конфеты комильфо, 232 г, в ассортименте|7
тампоны o.b. procomfort, 16 шт. в уп., в ассортименте|9
соки и нектары j- 7, 0,97 л, в ассортименте|9
коктейль чудо детки, в ассортименте, 2,5- 3,2%, 270 г|1
вино красный кардинал, красное; молоко любимой женщины, белое, полусладкое, 1 л|8
пижама женская fm, футболка + шорты, 100% хлопок, р- р 42–50: sara, l11803|9
шоколад nestl? after eight, темный, со вкусом мяты, 200 г|7
сыр традиционный, аланталь, 50%, 290 г|1
бекон atria pekoni, сырокопченый, 150 г|0
закуска валдайский погребок, летняя, 500 г|6
ликер sheridans 0,5 л|8
батончик snikers, с семечками, 81 г|7
кетчуп миладора, в ассортименте, 550 г|6
шоколад милка, молочный, с цельным фундуком, 90 г|7
напиток пивной радлер, светлый, нефильтрованный, со вкусом вишни, 3,2%, 0,33 л|8
ветчина невская трапеза домашняя, в белкозине, весовая, 1 кг|0
cava faustino gift box игристое белое брют испания, риоха 0,75 л, цена/ цена кратная 6 бутылкам|8
чипсы lays, со вкусом сметаны и зелени, 240 г|5
виски вильям лоусонс, 3- летний, 40%, 0,7 л|8
косметика для ухода за волосами shamtu: - бальзам- ополаскиватель, 200 мл - шампунь, 360 мл|9
кетчупы heinz в ассортименте 350 г|6
сыр твердый пармезан сыробогатов 400 г , цена при покупке кратно 2 шт|1
зубная паста/ щетка/ ополаскиватель paradontax 75 мл/ 300мл|9
terramater в ассортименте чили, центральная долина 0,75 л, цена/ цена кратная 6 бутылкам|8
рулетики яшкино, вафельные со вкусом сгущённого молока, 160 г|7
губка для посуды лента, 1 уп.: - профильная, 90х 70х 44 мм, 3 шт. - макси, 100х 70х 30 мм, 8 шт.|9
хлопья ясно солнышко, овсяные, клюква- яблоко, 300 г|5
редис красный, 500 г|2
порошок стиральный миф, автомат 3в 1, в ассортименте, 2 кг|9
завтрак готовый несквик, дуо, 375 г|5
ром bacari carta blanca 0,7 л|8
шампанское taittinger brut reserve, белое брют, в подарочной упаковке, 0,75 л, франция|8
вино rauli, в ассортименте, чили, 0,75 л|8
пивной напиток аливария, белое, нефильтрованный, 5%, 0,9 л|8
сухой завтрак krosby, в ассортименте, 200 г. 1+ 1. цена указана за 1 шт. при покупке 2 шт. одновременно|5
сок сады придонья яблоко прямого отжима мультифрукт, яблоко- персик 1 л|9
творог 9% вкуснотеево 300 г|1
шампунь/ бальзам для волос gliss kur 200- 250 мл , цена при покупке кратно 2 шт|9
сервелат финский, варено- копченый, 350 г|0
чай richard, в ассортименте, черный, 80 г|5
шоколадные конфеты lindor в ассортименте 200 г|7
пирог с курицей, весовой|6
смесь гавайская, hortex, 400 г|4
средства для стирки tide, автомат: - капсулы, 15 шт. в уп. - порошок, 3 кг - гель, 1,235 л|9
конфеты вдохновение, с шоколадно- ореховой крошкой и цельным фундуком, 100 г|7
сыр pretto моцарелла, 45%, 100 г: - фиор ди латте - чильеджина|1
чай черный пакетированный greenfield earl grey 100?2 г|5
мясное ассорти домашнее, копчено- вареное (копченов), 400 г|0
слива крупная, 1 кг|2
кофе молотый в растворимом jacobs monarch millicano 75 г|5
конфеты победа вкуса, трюфели, 225 г: - тирамису с марципаном в горьком шоколаде с сыром маскарпоне - с марципаном и тертым грецким орехом|7
виски bells original 1 л|8
филе хека вичи, порции в панировке, 300 г|4
набор щетка с ручкой + совок nova home длина ручки 75 см ширина щетки 20 см|9
соки; нектары; компоты фруктовый сад, в ассортименте, 0,95 л|9
блинчики с вареной сгущенкой, морозко, 420 г|4
круасаны 7 days|7
джемпер женский, 1 шт.|9
баклажан, 1 кг|2
морской коктейль, fish house, 400 г|3
карамель halls, в ассортименте, 24,5- 25 г|7
паштет в ассортименте, hame, 105 г|0
сельдь олюторская русская рыбная фактория слабосоленая и холодного копчения|3
maggi на второе, в ассортименте, 30- 47 г|5
фасоль bonduelle, красная, 400 г|6
кета лапландия фиш, слабосоленая, ломтики, 150 г|3
шоколадный набор комильфо, фисташка, 116 г|7
сыр маскарпоне metro chef 500 г|1
чай черный принцесса нури, цейлонский пекое, 100 г|5
мицеллярная вода loreal, 200 мл|9
порошок стиральный tide, автомат в ассортименте, 4 кг|9
шоколад kit kat mini, с хрустящими вафлями, 202 г|7
корм для собак pedigree 80- 100 г|9
печенье belvita утреннее, витаминизированное, 225 г, в ассортименте|7
armavir karas красное сухое вино армения 0,75 л, цена/ цена кратная 6 бутылкам|8
колбаски из индейки австралийский тд, охлажденные, 440 г|0
сухарики хрусteam, 90 г, в ассортименте|5
чипсы lays, со вкусом краба, 240 г|5
миксер midea mm- 2803 - возможность использования в режиме ручного миксера - металлическая чаша 3,5 л - 4 металлических насадки - 5 скоростей|9
кружка, стекло/ фарфор, 300–480 мл, в ассортименте|9
bordeaux superieur cheval quancard красное сухое вино франция, борда 0,75 л, цена/ цена кратная 6 бутылкам|8
творог 101 зерно, зерненый, 5% (савушкин продукт), 130 г|1
пиво efes pilsner, светлое, 5%, 0,45 л. 3+ 1. цена указана за 1 шт. при покупке 4 шт. одновременно|8
пятновыводитель vanish oxi action, универсальный/ с отбеливателем: - 500 г - 1 л|9
мармелад haribo, сердечки, 100 г|7
пиво leffe, в ассортименте, 0,75 л, бельгия|8
сервелат по- черкизовски, варено- копченый (черкизовский мпз), 400 г|0
сыр брынза mlekara subotica 220 г|1
стейк нью- йорк из мраморной говядины вакуумная упаковка , цена при покупке кратно 2 шт|0
студень в ассортименте, хрустальная снежинка, 200 г|0
десерт liegeois, в ассортименте, 2,4- 2,5%, 175 г|1
виски glenfddich 12 лет п/ у 0,75 л|8
золотая балка в ассортименте россия 0,75 л, цена/ цена кратная 6 бутылкам|8
набор подарочный конфитрейд, 90 г: - щенячий патруль - тролли - весна - барби|7
шницель рубленый, с картофельным пюре под соусом, российская корона, 300 г. 1+ 1. цена указана за 1 шт. при покупке 2 шт. одновременно|4
коньяк courvoisier napoleon 0,7 л|8
конфеты fluide classique, 235 г: - с фундуком и миндалем - с миндалем|7
томатная паста помидорка 770 г, цена при покупке кратно 2 шт|6
корм для кошек katty, в ассортименте, 85 г. 5+ 1. цена указана за 1 шт. при покупке 6 шт. одновременно|9
перчатки хозяйственные vileda super grip материал: латекс защита от перепадов температур рельефная антискользящая поверхность s m l|9
бумага туалетная zewa deluxe, 3- слойная, 8 шт. в уп.|9
напитки из черноголовки, в ассортименте, 2 л|9
ягоды hortex в ассортименте 300 г|4
колбаса онежская черкизовский мк сырокопченая 1 кг|0
бедро куриное охлажденное подложка 1 кг|0
вафли шарлиз, мягкие в ассортименте, 123 г|7
пиво очаково специальное 1,5 л|8
ром/ напиток спиртной bacardi, 0,7 л, в ассортименте, италия, германия|8
крекер pick me, в ассортименте, 90 г|7
салат валдайский погребок, домашний, 500 г|6
зефир со вкусом ванили, глазированный, lorentini, 200 г|7
печень трески westfjords исландская, 115–120 г, в ассортименте|3
виски johhnie walker black label 0,7 л|8
фруктовое пюре агуша, в ассортименте, 115 г|9
посуда пионы, стекло: - салатник: 11 см – 59,99 руб.; 16 см – 99,99 руб. - кружка: 200 мл – 59,99 руб.; 300/ 320 мл – 74,99 руб.|9
треска филе без кожи свежемороженое 1 кг|3
коньяк киновский, российский, 3- летний, 40%, 0,5 л|8
вино martini asti, игристое, белое, сладкое, 0,75 л|8
виски the famous grouse 1 л|8
трусы- боксеры мужские fm, 95% хлопок, 5% полиуретан, р- р 46–54: um118, т250, bs- 01, m206|9
пивной напиток redds, светлый, 4,5%, 0,33 л|8
сок добрый, в ассортименте, 0,2 л. 2+ 1. цена указана за 1 шт. при покупке 3 шт. одновременно|9
арахис лента, жареный, соленый, 200 г|5
cabernet sauvignon naissance красное сухое вино юар, долина робертсон 0,75 л, цена/ цена кратная 6 бутылкам|8
посуда пионы, керамика: - салфетница, 10х 4х 7 см; подставка для ложки, 25х 9 см – 99,99 руб. - контейнер для лимона; набор для специй, 2 шт. в уп. – 129,99 руб. - салатник, 520 мл; подставка для губки – 149,99 руб. - чайная пара – 189,99 руб. - сахарница с ложкой, 9,5х 11 см – 199,99 руб. - чайник заварочный, 950 мл; масленка, 18х 13 см – 249,99 р|9
прокладки naturella, 14–60 шт. в уп., в ассортименте|9
водка мерная, на молоке, 0,5 л, россия|8
колбаса микоян для поста, с грибами, 500 г|0
трусы женские dim basic, 95% хлопок, 5% эластан, р- р 42–50: - слипы - боксеры - стринги|9
набор игровой: - парикмахер, 19 предметов - доктор, 13 предметов|9
подарочный набор: гель для душа palmolive, ежевика + мыло, 250 мл|9
коньяк hennessy vsop п/ у 0,7 л|8
соки и нектары фрутоняня, в ассортименте, 500 мл|9
набор конфет бабаевский, ассорти, 300 г|7
фасоль фрау марта, в ассортименте, 310 г|6
10|9
трусики pampers, джуниор (12- 18 кг), 48 шт.|9
шоколад воздушный в ассортименте 85 г|7
хлопья кукурузные, с сахаром, любятово, 400 г|5
конфета я в шоколаде, нуга, орех, карамель, шоколад, 40 г|7
хлопья 5 злаков, мистраль, 400 г|5
цикорий большая чашка, классический, растворимый, 85 г. 1+ 1. цена указана за 1 шт. при покупке 2 шт. одновременно|5
крем детский каспер, с экстактом ромашки, 40 мл|9
биопродукт активиа, в ассортименте, 150 г|1
сухие корма для кошек purina one в ассортименте 750 г|9
молочко детское нан 3 (с 12 месяцев), 400 г|9
соус стебель бамбука, в ассортименте, 280 г|6
сыр лента фетос, мягкий, 330 г|1
конфеты hamlet leather, 250 г|7
чебупицца горячая штучка, пепперони, 250 г|4
икра лососевая мирамар, зернистая, соленая, 95 г|3
шоколад milka, 80–97 г, в ассортименте|7
чай лисма, индийский, черный, 100х 2 г|5
порошок стиральный миф, автомат, 3в 1, свежесть долины роз, 4 кг|9
йогурт агуша, в ассортименте, 90 г|9
виски william lawsons, 0,5 л, россия|8
творог простоквашино, 5%, 220 г|1
вино игристое инкерман, розовое, полусладкое, 0,75 л|8
полотенце homeclub нежность, 100% хлопок: - 30х 50 см – 99,90 руб. - 50х 80 см – 249,90 руб. - 70х 120 см – 549,90 руб.|9
коньяк hennessy vs п/ у 0,5 л|8
морковь мытая, 1 уп.|2
пирожные смольнинский хлебзавод ягодное лето, песочные, 115 г х 4 шт. в уп.|7
напиток fresh, в ассортименте, сильногазированный, 2 л|9
прокладки always, ультра нормал, 30 шт.|9
зеленый салат из свежих трав: петрушка; укроп; зеленый лук, 100 г (1 уп.)|2
напиток безалкогольный напитки из черноголовки, сильногазированный, 2 л, в ассортименте|9
жевательные конфеты fruittella в ассортименте 41 г|7
чай lancaster, 75–100 г: - черный: кенийский высокогорный, с бергамотом, с ароматом манго - зеленый китайский - карамельный ройбуш|5
маслины maestro de oliva, в ассортименте, 170 г|6
зельц деревенский, вареный, великолукский мясокомбинат, 330 г|0
водка парламент 0,5 л|8
сосиски филейные, останкино, 495 г|0
торт невские берега крем- брюле, 800 г|7
вино игристое martini, 0,75 л, италия, в ассортименте|8
масло оливковое extra virgin / 100% filippo berio 0,5 л|6
шоколадный напиток nesquik 250 г|5
полотенце махровое эдельвейс, с бордюром, 100% хлопок, в подарочной упаковке, 50х 80 см в ассортименте представлен размер: - 70х 120 см – 299,99 руб.|9
печенье фруктовый десерт, продвагон, 250 г|7
пиво жигули барное, в ассортименте, 0,5 л, россия|8
суп чечевичный йелли, в ассортименте, 250 г|5
косметика для ухода за волосами vilenta, 280 мл: - шампунь - бальзам|9
шампунь/ гель le petit marseillais, 250 мл, в ассортименте|9
блинчики с ветчиной и сыром, морозко, 420 г|4
тилапия филе fine life без кожи свежемороженая 1 кг|3
крем- краска для волос syoss, 115 мл, в ассортименте|9
детское мыло johnsons baby, в ассортименте, 100 г|9
ликер jagermeister 0,7 л|8
вино, столовое, красное полусладкое, 0,75 л, абхазия, в ассортименте|8
кофе jacobs monarch, растворимый + кофейный напиток 3в 1, 240 г, 1 уп.|5
вода aqua minerale, в ассортименте, 2 л|9
икра кабачковая fine life 500 мл|6
батончики snikers, с семечками, 100 г|7
салфетка протирочная fine life материал: вискоза 34 х 38 см 10 шт|9
напиток винный вермут delasy, белый, 1 л, россия|8
хлопья кукурузные любятово 250 г|5
дезодорант fa: - ролик, 50 мл – 59,99 руб. - спрей, 150 мл – 84,99 руб.|9
фасоль globus, 425 мл, в ассортименте|6
пиво арсенальное, светлое, 1,35 л, россия|8
сыр сыробогатов, плавленый,130 г: - ломтики, 50% - слайсы, 45%|1
сыр полутвердый маасдам золото европы 240 г|1
креветки vici аргентинские красные, в панцире с головой, свежемороженые, 20/ 30, 1000 г|3
barbera dasti docg palas michele charlo красное сухое вино италия, пьемонт 0,75 л|8
торт панчитто, фили- бейкер, 800 г|7
конфеты вишня в шоколаде, lorentini, 150 г|7
зефир laima maigums, 185 г: ванильный в шоколаде черная смородина|7
parellele 45 paul jaboulet aine в ассортименте франция,долина роны 0,75 л, цена/ цена кратная 6 бутылкам|8
овощи консервированные, 680–720 мл: - томаты помидорка: в собственном соке, маринованные - огурчики 6 соток домашние|6
сок агуша, 200 м - с 4 мес. - с 5 мес. - с 6 мес.|9
набор palmolive, гель для душа + дезодорант, 1 уп.|9
водка зеленая марка, 0,5 л, россия, в ассортименте|8
картофель- фри золотистый, длинный тонкий, 750 г|4
детский шампунь- пенка johnson’s baby 500 мл|9
скумбрия 5 морей, натуральная, с маслом, 250 г|3
кофе nescafe gold barista, молотый в растворимом, 85 г|5
набор gliss kur, шампунь + бальзам, 1 шт.|9
коньяк ной классик 7 лет 0,5 л|8
соки и нектары «я» в ассортименте 0, 97 л|9
набор подарочный le petit marseillais, гель для душа грейпфрут, 250 мл + шампунь экстракт грейпфрута, 250 мл|9
шпроты в масле, вкусные консервы, 175 г|3
imperial moet&chanon gift box шманское белое брют франция, шампань 0,75 л, цена/ цена кратная 6 бутылкам|8
минеральная вода нарзан природной газации 0, 5 л|9
сыр плавленый хохланд, с грибами, 400 г|1
полотенце cleanelly пионы, с бордюром, 100% хлопок: - 30х 50 см – 139,99 руб. - 50х 80 см – 299,99 руб. - 70х 120 см – 599,99 руб.|9
сыр граф, 45% (ровеньки- мсз), 1 кг|1
огурцы соленые лента, 600 г|6
напиток винный santo stefano, газированный, полусладкий, в подарочной упаковке, 0,75 л, россия, в ассортименте|8
asti docg игристое белое сладкое италия, пьемонт 0,75 л, цена/ цена кратная 6 бутылкам|8
набор подарочный nivea, дезодорант шариковый женский, 50 мл + гель для душа- скраб манго, 250 мл|9
шоколадные конфеты fine life sea shells от 125 г|7
плед, полиэстер: - пионы, 120х 145 см – 199,99 руб. - маме, 120х 150 см – 499,99 руб. - элиза, 180х 200 см – 999,99 руб.|9
чайник homeclub hhb1788|9
мягкий сыр creme blanche meggle в ассортименте 150 г|1
колготки fm, 78% хлопок, 20% полиэстер, 2% полиуретан, р- р 98–122: - для девочки, aw16gtights- 003 - для мальчика, aw16btights- 002|9
кофе julius meinl, в зернах, 500 г: - prasident - der wiener|5
наггетсы fine life в ассортименте 300 г|4
кисель фруктовый десерт, в ассортименте, 500 г|9
коньяк старейшина 5 лет 1 л|8
кекс аладушкин, 2 шт., 150 г. 1+ 1. цена указана за 1 шт. при покупке 2 шт. одновременно|7
хренодер fine life 500 г чесночный домашний ядреный россия|6
коктейль чудо молочное, в ассортименте, 2%, 270 г|1
коньяк galavani, грузинский, пятилетний, 40%, 0,5 л|8
косметика для ухода за волосами l’oreal: - краска excellence, 176 мл - спрей magic retouch, 75 мл|9
сыр с голубой плесенью bludelice 100 г|1
вино campo viejo, темпранильо, красное сухое, 0,75 л, испания, риоха|8
майонез московский, провансаль классический, 67%, 400 г|6
колбаса сервелат европейский, варено- копченый, 470 г|0
тарталетки лента, 220–260 г, в ассортименте|7
колбаса папа может, вареная (омпк), 500 г|0
конфеты родные просторы, в ассортименте, 200 г|7
кофе paulig arabica, зерновой, 250 г|5
сыр российский, нарезка, город сыра, 45%, 125 г|1
торт панчо, фили- бейкер, 500 г|7
капуста китайская, 1 кг|2
мякоть помидора подравка, с чесноком и петрушкой, 500 г|6
тапки детские fm, р- р 22–27, в ассортименте|9
коньяк martell v.s., 0,5 л, франция|8
пиво хамовники в ассортименте, светлое, 0,47 л|8
посуда atmosphere сamelia, стекло: - салатник, 13 см – 169,99 руб.; 21,5 см – 499,99 руб. - сахарница, с крышкой, 12 см – 249,99 руб. - блюдо сервировочное, 21 см – 299,99 руб. - ваза, 23 см – 699,99 руб.|9
вино игристое аристов, белое брют, 0,75 л|8
конфеты дав промисис, в ассортименте, 118- 120 г|7
кофеварка- эспрессо polaris pcm 1515e - трафареты для рисунков на молочной пенке - давление помпы 15 бар - подсветка кнопок - объем 1,5 л 850вт|9
набор конфет lindor, 125 г: - молочный - ассорти|7
салфетки carefree, 20 шт., 1 уп.|9
овощи замороженные хортекс, брокколи и цветная капуста, 400 г|4
полотенце махровое облака: - 30х 50 см – 69,99 руб. - 50х 80 см – 149,99 руб. - 70х 120 см – 299,99 руб.|9
вичи, крабовые палочки; мясо краба охлажденные, 200 г|3
виски the glenlivel excelience 0,7 л|8
сыр cheese lovers, 50%, весовой, 1 кг, в ассортименте|1
жидкое мыло le petit marseillais, в ассортименте, 300 мл|9
стевия, худеем за неделю, сахарозаменитель, 150 таблеток, 37,5 г|5
штрудель австрийский, с маком, 280 г|7
водка корюшка, 0,5 л, россия|8
медальоны свиные домашняя линия, в шпике, без кости, охлажденные, весовые, 1 кг|0
конфеты столичные штучки ягодное суфле, глазированные, 100 г|7
освежитель воздуха airwick, в ассортименте, 240 мл|9
горошек зеленый, bonduelle, 400 г|6
кофе hausbrandt, в зернах, 500 г: - rossa – 499,99 руб. - espresso – 599,99 руб.|5
паста томатная, красная цена, 500 г|6
упаковка подарочная: - пакет декоративный – от 15,99 руб. - бумага, 70х 100 см – 29,99 руб.|9
коньяк martell vs п/ у 0,7 л|8
chardonnay tocornal cono sur белое полусухое вино чили, центральная долина 0,75 л, цена/ цена кратная 6 бутылкам|8
вино игристое p. de charmille cremant de loire, белое брют, 0,75 л, франция|8
семя льна, ваше здоровье, 300 г|5
напиток пивной corona extra, светлый, 0,355 л, мексика|8
конфеты fazer, с начинкой из малинового йогурта, 150 г|7
настойка медовуха гречишная, горькая, с ароматом меда, 0,5 л, россия|8
крем для рук nivea, облепиха и витамин е, 75 мл|9
трусики pampers 88- 104 шт/ уп|9
фисташки dolce albero, соленые, жареные, 200 г|5
чай richard royal heart, черный, 30 г, в ассортименте|5
плавленый сыр president, в ассортименте, 45%, 400 г|1
тушка куриная пакет 1 кг|0
пряник тульский, в ассортименте, 140 г|7
средства чистящие для туалета bref, 150 г, в ассортименте|9
швабра телескопическая leifheit classic размер платформы 39 х 9,5 см микроволоконная насадка (58% полиэстер, 42% хлопок) для всех типов полов|9
салат из морской капусты натуральный (океан трк), 400 г|3
пятновыводитель vanish 1 л, цена при покупке кратно 2 шт|9
шампанское российское абрау- дюрсо, белое, 0,75 л, россия, в ассортименте|8
текила classico olmeca blanco, 0,7 л, мексика|8
палочки французский краб, с мягким сыром, санта бремор, 200 г|3
готовый завтрак в ассортименте, nestle, 325 г|5
водка русский стандарт, 40%, 0,5 л|8
колбаса со сливками, дым дымычъ, вареная (агротэк), 450 г|0
набор конфет вдохновение, пралине с орехами, 170 г|7
набор мисок архимед дорос: 1,3 л; 2,2 л; 5 л; дуршлаг, 26 см|9
потрошки куриные, семейный бюджет, 340 г|0
конфеты raffaello, 230 г|7
чай черный липтон, йеллоу лэйбл, 25 пакетиков|5
пиво holsten premium, светлое, 4,8%, 0,45- 0,47 л|8
фруктовый сад соки и нектары в ассортименте, 950 мл|9
сок сады придонья, в ассортименте, 0,2 л. 2+ 1. цена указана за 1 шт. при покупке 3 шт. одновременно|9
douro doc romariz красное сухое вино португалия, дору 0,75 л, цена/ цена кратная 6 бутылкам|8
горох лента, 900 г|5
напиток el fresco, в ассортименте, 0,5 л|9
напиток безалкогольный эльфреско, мохито клубника, 1,25 л|9
maggi на второе, в ассортименте, 24- 54 г|5
куртка женская authentic размеры: s- xl, модели и цвета: в ассортименте|9
креветки 31/ 40 horeca select без головы свежемороженые 860 г|3
печенье шарлиз, вафельное, рассыпчатое, 225 г|7
соки и нектары добрый в ассортименте 1 л|9
набор игровой: - кошечка в домике - собачка в домике|9
сосиски венские, новгородский бекон, 520 г|0
прокладки ola! daily, 60 шт. в уп.|9
окорок свиной агро- белогорье, без кости, охлажденный, весовой, 1 кг|0
коньяк армянский, трехлетний, 40%, 0,5 л|8
напиток спиртной torres spiced, 0,7 л, испания|8
конфеты красный октябрь/ бабаевский, 165–300 г, в ассортименте|7
торт карат плюс опера, бисквитный, 950 г|7
огурцы среднеплодные, колючие, 1 кг|2
камбала, без головы, потрошеная, охлажденная, весовая, 1 кг|3
вино nikala алазанская долина, полусладкое, в ассортименте, грузия, 0,75 л|8
мука пышечка, высший сорт, 1 кг|5
набор подарочный johnsons, гель для душа, 250 мл + лосьон для тела, 250 мл + мыло гранатовое, 125 г|9
вода питьевая бон аква, негазированная, 1 л|9
шампанское российское абрау- дюрсо victor dravigny, 0,75 л, россия, в ассортименте|8
сосиски молочные клинский мк гост 1 кг|0
водка зеленая марка 0,5 л в ассортименте|8
лист лавровый, индана, 18 г|5
виски bulleit bourbon 0,7 л|8
чизкейк cheeseberry в ассортименте 1,1 - 2,1 кг|7
виски scottish land, 40%, 0,35 л|8
виски mcclellands, односолодовый, в подарочной упаковке, 0,7 л, великобритания, в ассортименте|8
фен vitek vt- 2235 - ионизация - 2 режима температуры/ скорости воздушного потока - функция подачи холодного воздуха|9
конфеты raffaello, с миндальным орехом, 150 г|7
напиток пивной miller, светлый, 0,5 л, россия|8
сухари каскад, в ассортименте, 300 г|7
макароны шебекинские, в ассортименте, 450 г|5
корм для кошек gourmet gold, 85 г, в ассортименте|9
печенье бискотти, постное с льняной семечкой, 80 г|7
батончик mixbar, 47 г|7
шоколад а. коркунов, 90 г: - молочный с орехами и изюмом - горький - молочный|7
пирожные mirel профитроли, с пломбирным кремом, 180 г|7
карбонад копчено- вареный, царицыно, 400 г|0
marius mchapoutier в ассортименте франция 0,75 л, цена/ цена кратная 2 бутылкам|8
чистящее средство domestos 500 мл|9
снэки сухогруз, cушеные, 70 г: - путассу: стружка, с перцем - рыбка янтарная - кальмар|5
элемент питания energizer max, 4 шт. в уп.: - aaa - aa|9
водка славянская, ржаная, особая, из отборной ржи, 0,5 л, россия|8
конфеты 35, с начинкой, весовые, 1 кг, в ассортименте|7
подгузники pampers active baby 54- 82 шт./ уп.|9
филе грудки индейки, охлажденное, индолина, 500 г|0
ботинки мужские fm, натуральная кожа, р- р 40–45 ls004, ls005|9
увлажнитель воздуха polaris puh 5903/ puh 4903/ 6030 - автоматическое отключение при отсутствии воды - рекомендуемая площадь до 30 м 2 - объем емкости для воды 3 л|9
набор к пиву, слабосолёный, 3 fish, 170 г|3
майонез слобода на перепелиных яйцах, 67%, 800 мл|6
шампунь schauma, для мужчин в ассортименте, 380 мл|9
плавленый сыр витако, сливочный, 60%, 200 г|1
